config,side,model,ctx,mva,strategy_forced,strategy_active,overlap,n_pinned,cache_ubatch,prompt_tps,decode_tps,vram_peak_delta,token_hash,status
# idle_used=1194
q8d-c16384-mva8000-s1,pshard,q8d,16384,8000,1,STATIC_ATTNPRIO_ALLMODELS,1,0,16384,1243.18,2.15,8987,1c5a2f9e5163a8f1,PPL_MISMATCH(stock= pshard=1.1090)
q8d-c16384-mva8000-s2,pshard,q8d,16384,8000,2,DYNAMIC_FFNCPU_ATTNSTREAM,1,19,16384,21.06,2.14,8275,1c5a2f9e5163a8f1,PPL_MISMATCH(stock= pshard=1.1048)
q8d-c16384-mva8000-s3,pshard,q8d,16384,8000,3,STATIC_ATTNPRIO_ALLMODELS,1,17,16384,1400.23,1.92,8551,1c5a2f9e5163a8f1,PPL_MISMATCH(stock= pshard=1.1063)
q8d-c16384-mva8000-s4,pshard,q8d,16384,8000,4,DYNAMIC_FFN_ALTERNATE,1,0,16384,36.81,2.18,8275,1c5a2f9e5163a8f1,PPL_MISMATCH(stock= pshard=1.1144)
q8d-c16384-mva12000,stock,q8d,16384,12000,,,,,16384,,,9119,d41d8cd98f00b204,FAIL
q8d-c16384-mva12000-sauto,pshard,q8d,16384,12000,auto,GPUONLY_LAYERPIN_LAYERSTREAM,1,27,16384,1714.54,2.62,12335,1c5a2f9e5163a8f1,PPL_MISMATCH(stock= pshard=1.1123)
q8d-c16384-mva12000-s0,pshard,q8d,16384,12000,0,GPUONLY_LAYERPIN_LAYERSTREAM,1,27,16384,1723.36,2.64,12335,1c5a2f9e5163a8f1,PPL_MISMATCH(stock= pshard=1.1123)
q8d-c16384-mva12000-s1,pshard,q8d,16384,12000,1,GPUONLY_ATTNPIN_FFNSTREAM,1,10,16384,1732.80,2.77,12345,1c5a2f9e5163a8f1,PPL_MISMATCH(stock= pshard=1.1123)
q8d-c16384-mva12000-s2,pshard,q8d,16384,12000,2,DYNAMIC_FFNCPU_ATTNSTREAM,1,28,16384,25.51,2.58,12273,1c5a2f9e5163a8f1,PPL_MISMATCH(stock= pshard=1.1087)
q8d-c16384-mva12000-s3,pshard,q8d,16384,12000,3,STATIC_ATTNPRIO_ALLMODELS,1,17,16384,1465.36,2.51,12549,1c5a2f9e5163a8f1,PPL_MISMATCH(stock= pshard=1.1063)
q8d-c16384-mva12000-s4,pshard,q8d,16384,12000,4,DYNAMIC_FFN_ALTERNATE,1,10,16384,35.78,2.69,12277,1c5a2f9e5163a8f1,PPL_MISMATCH(stock= pshard=1.1144)
